normalization,n_clusters,m,clustering_method,defuzz_method,neighbor_method,train_rmse,train_mae,test_rmse,test_mae,train_precision,train_recall,train_accuracy,train_f1_score,test_precision,test_recall,test_accuracy,test_f1_score,avg_max_membership,avg_entropy,elapsed_sec,train_thresholds,train_precision_at_threshold,train_recall_at_threshold,train_f1_score_at_threshold,test_thresholds,test_precision_at_threshold,test_recall_at_threshold,test_f1_score_at_threshold
no_normalization,2,2.0,kmeans,maximum,pearson,2.868407407885719,2.508461167127629,,,0.5884615384615385,0.1380936433086003,0.5884615384615385,0.2108759872020172,0.6033806471306471,0.5106554057659644,0.6033806471306471,0.5226675228909216,1.0,0.0,41.27688839985058,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5884615384615385, 0.5766923076923077, 0.564923076923077, 0.5531538461538461, 0.5413846153846155]","[0.1380936433086003, 0.13533177044242828, 0.13256989757625628, 0.12980802471008426, 0.12704615184391227]","[0.2108759872020172, 0.20665846745797684, 0.2024409477139365, 0.19822342796989614, 0.19400590822585584]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6033806471306471, 0.5913130341880342, 0.5792454212454212, 0.5671778083028083, 0.5551101953601953]","[0.5106554057659644, 0.5004422976506451, 0.49022918953532574, 0.48001608142000646, 0.46980297330468723]","[0.5226675228909216, 0.5122141724331031, 0.5017608219752847, 0.49130747151746623, 0.48085412105964787]"
no_normalization,3,2.0,kmeans,maximum,pearson,2.858879589198644,2.515936025816925,,,0.5881868131868132,0.1381074139990627,0.5881868131868132,0.2108541257743202,0.6033806471306471,0.5106554057659644,0.6033806471306471,0.5226675228909216,1.0,0.0,25.853554400149733,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5881868131868132, 0.5764230769230769, 0.5646593406593406, 0.5528956043956044, 0.5411318681318682]","[0.1381074139990627, 0.13534526571908145, 0.1325831174391002, 0.12982096915911895, 0.1270588208791377]","[0.2108541257743202, 0.20663704325883378, 0.20241996074334737, 0.19820287822786098, 0.1939857957123746]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6033806471306471, 0.5913130341880342, 0.5792454212454212, 0.5671778083028083, 0.5551101953601953]","[0.5106554057659644, 0.5004422976506451, 0.49022918953532574, 0.48001608142000646, 0.46980297330468723]","[0.5226675228909216, 0.5122141724331031, 0.5017608219752847, 0.49130747151746623, 0.48085412105964787]"
no_normalization,4,2.0,kmeans,maximum,pearson,2.8722170909139617,2.5312759094530404,,,0.5870879120879121,0.1376441675680744,0.5870879120879121,0.2102050035550761,0.6033806471306471,0.5106554057659644,0.6033806471306471,0.5226675228909216,1.0,0.0,19.79005409986712,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5870879120879121, 0.5753461538461538, 0.5636043956043956, 0.5518626373626373, 0.5401208791208791]","[0.1376441675680744, 0.13489128421671293, 0.13213840086535142, 0.12938551751398994, 0.12663263416262846]","[0.2102050035550761, 0.20600090348397457, 0.20179680341287304, 0.1975927033417715, 0.19338860327067]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6033806471306471, 0.5913130341880342, 0.5792454212454212, 0.5671778083028083, 0.5551101953601953]","[0.5106554057659644, 0.5004422976506451, 0.49022918953532574, 0.48001608142000646, 0.46980297330468723]","[0.5226675228909216, 0.5122141724331031, 0.5017608219752847, 0.49130747151746623, 0.48085412105964787]"
no_normalization,5,2.0,kmeans,maximum,pearson,2.881016952339703,2.52225938509098,,,0.5873626373626374,0.137630396877612,0.5873626373626374,0.2102268649827731,0.6033806471306471,0.5106554057659644,0.6033806471306471,0.5226675228909216,1.0,0.0,18.93309239996597,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5873626373626374, 0.5756153846153846, 0.5638681318681319, 0.5521208791208791, 0.5403736263736264]","[0.137630396877612, 0.13487778894005975, 0.1321251810025075, 0.12937257306495528, 0.12661996512740303]","[0.2102268649827731, 0.20602232768311762, 0.20181779038346218, 0.1976132530838067, 0.19340871578415125]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6033806471306471, 0.5913130341880342, 0.5792454212454212, 0.5671778083028083, 0.5551101953601953]","[0.5106554057659644, 0.5004422976506451, 0.49022918953532574, 0.48001608142000646, 0.46980297330468723]","[0.5226675228909216, 0.5122141724331031, 0.5017608219752847, 0.49130747151746623, 0.48085412105964787]"
simple_centering,2,2.0,kmeans,maximum,pearson,0.6863784404832743,0.5091714315825643,0.6817163807721112,0.5476375704258039,0.5722527472527473,0.1303736235943527,0.5722527472527473,0.2007940530195244,0.6050289987789987,0.5119977279210944,0.6050289987789987,0.5241619076270645,1.0,0.0,40.78512299992144,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5722527472527473, 0.5608076923076923, 0.5493626373626375, 0.5379175824175825, 0.5264725274725276]","[0.1303736235943527, 0.12776615112246564, 0.1251586786505786, 0.12255120617869153, 0.11994373370680449]","[0.2007940530195244, 0.1967781719591339, 0.19276229089874342, 0.18874640983835295, 0.18473052877796248]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6050289987789987, 0.5929284188034187, 0.5808278388278387, 0.5687272588522588, 0.5566266788766788]","[0.5119977279210944, 0.5017577733626726, 0.49151781880425066, 0.48127786424582875, 0.4710379096874069]","[0.5241619076270645, 0.5136786694745232, 0.5031954313219819, 0.4927121931694406, 0.48222895501689933]"
simple_centering,3,2.0,kmeans,maximum,pearson,0.6863784404832743,0.5091714315825643,0.6817163807721112,0.5476375704258039,0.5722527472527473,0.1303736235943527,0.5722527472527473,0.2007940530195244,0.6050289987789987,0.5119977279210944,0.6050289987789987,0.5241619076270645,1.0,0.0,38.488144000060856,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5722527472527473, 0.5608076923076923, 0.5493626373626375, 0.5379175824175825, 0.5264725274725276]","[0.1303736235943527, 0.12776615112246564, 0.1251586786505786, 0.12255120617869153, 0.11994373370680449]","[0.2007940530195244, 0.1967781719591339, 0.19276229089874342, 0.18874640983835295, 0.18473052877796248]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6050289987789987, 0.5929284188034187, 0.5808278388278387, 0.5687272588522588, 0.5566266788766788]","[0.5119977279210944, 0.5017577733626726, 0.49151781880425066, 0.48127786424582875, 0.4710379096874069]","[0.5241619076270645, 0.5136786694745232, 0.5031954313219819, 0.4927121931694406, 0.48222895501689933]"
simple_centering,4,2.0,kmeans,maximum,pearson,0.6863784404832743,0.5091714315825643,0.6817163807721112,0.5476375704258039,0.5722527472527473,0.1303736235943527,0.5722527472527473,0.2007940530195244,0.6050289987789987,0.5119977279210944,0.6050289987789987,0.5241619076270645,1.0,0.0,28.044527699938044,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5722527472527473, 0.5608076923076923, 0.5493626373626375, 0.5379175824175825, 0.5264725274725276]","[0.1303736235943527, 0.12776615112246564, 0.1251586786505786, 0.12255120617869153, 0.11994373370680449]","[0.2007940530195244, 0.1967781719591339, 0.19276229089874342, 0.18874640983835295, 0.18473052877796248]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6050289987789987, 0.5929284188034187, 0.5808278388278387, 0.5687272588522588, 0.5566266788766788]","[0.5119977279210944, 0.5017577733626726, 0.49151781880425066, 0.48127786424582875, 0.4710379096874069]","[0.5241619076270645, 0.5136786694745232, 0.5031954313219819, 0.4927121931694406, 0.48222895501689933]"
simple_centering,5,2.0,kmeans,maximum,pearson,0.6863784404832743,0.5091714315825643,0.6817163807721112,0.5476375704258039,0.5722527472527473,0.1303736235943527,0.5722527472527473,0.2007940530195244,0.6050289987789987,0.5119977279210944,0.6050289987789987,0.5241619076270645,1.0,0.0,41.55719280010089,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5722527472527473, 0.5608076923076923, 0.5493626373626375, 0.5379175824175825, 0.5264725274725276]","[0.1303736235943527, 0.12776615112246564, 0.1251586786505786, 0.12255120617869153, 0.11994373370680449]","[0.2007940530195244, 0.1967781719591339, 0.19276229089874342, 0.18874640983835295, 0.18473052877796248]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6050289987789987, 0.5929284188034187, 0.5808278388278387, 0.5687272588522588, 0.5566266788766788]","[0.5119977279210944, 0.5017577733626726, 0.49151781880425066, 0.48127786424582875, 0.4710379096874069]","[0.5241619076270645, 0.5136786694745232, 0.5031954313219819, 0.4927121931694406, 0.48222895501689933]"
minmax_per_user,2,2.0,kmeans,maximum,pearson,1.0141136792995484,0.8050619582747118,0.8972155427285499,0.6725673324604138,0.5876373626373628,0.1376048984965472,0.5876373626373628,0.2102819748361465,0.6033806471306471,0.5106554057659644,0.6033806471306471,0.5226675228909216,1.0,0.0,28.917084199842066,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5876373626373628, 0.5758846153846156, 0.5641318681318682, 0.552379120879121, 0.5406263736263738]","[0.1376048984965472, 0.13485280052661625, 0.1321007025566853, 0.12934860458675435, 0.12659650661682342]","[0.2102819748361465, 0.20607633533942357, 0.20187069584270062, 0.1976650563459777, 0.19345941684925477]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6033806471306471, 0.5913130341880342, 0.5792454212454212, 0.5671778083028083, 0.5551101953601953]","[0.5106554057659644, 0.5004422976506451, 0.49022918953532574, 0.48001608142000646, 0.46980297330468723]","[0.5226675228909216, 0.5122141724331031, 0.5017608219752847, 0.49130747151746623, 0.48085412105964787]"
minmax_per_user,3,2.0,kmeans,maximum,pearson,1.0141136792995484,0.8050619582747118,0.8972155427285499,0.6725673324604138,0.5876373626373628,0.1376048984965472,0.5876373626373628,0.2102819748361465,0.6033806471306471,0.5106554057659644,0.6033806471306471,0.5226675228909216,1.0,0.0,21.23066270002164,"[3.0, 3.5, 4.0, 4.5, 5.0]","[0.5876373626373628, 0.5758846153846156, 0.5641318681318682, 0.552379120879121, 0.5406263736263738]","[0.1376048984965472, 0.13485280052661625, 0.1321007025566853, 0.12934860458675435, 0.12659650661682342]","[0.2102819748361465, 0.20607633533942357, 0.20187069584270062, 0.1976650563459777, 0.19345941684925477]","[3.0, 3.5, 4.0, 4.5, 5.0]","[0.6033806471306471, 0.5913130341880342, 0.5792454212454212, 0.5671778083028083, 0.5551101953601953]","[0.5106554057659644, 0.5004422976506451, 0.49022918953532574, 0.48001608142000646, 0.46980297330468723]","[0.5226675228909216, 0.5122141724331031, 0.5017608219752847, 0.49130747151746623, 0.48085412105964787]"
