normalization,n_clusters,m,clustering_method,defuzz_method,neighbor_method,train_rmse,train_mae,test_rmse,test_mae,avg_max_membership,avg_entropy,elapsed_sec
simple_centering,4,1.5,kmeans,maximum,pearson,4.00587251902247,3.9196709367347933,3.9191715183999083,3.8300381277312816,1.0,-1.0000000826903713e-10,8.905744999996386
simple_centering,4,1.5,kmeans,maximum,none,4.044776900222973,3.9372159349048426,3.8619479902206892,3.7502845197941235,1.0,-1.0000000826903713e-10,0.011400199960917234
simple_centering,4,1.5,kmeans,cog,pearson,4.00587251902247,3.9196709367347933,3.9191715183999083,3.8300381277312816,1.0,-1.0000000826903713e-10,7.5117765999166295
simple_centering,4,1.5,kmeans,cog,none,4.044776900222973,3.9372159349048426,3.8619479902206892,3.7502845197941235,1.0,-1.0000000826903713e-10,0.010762199992313981
simple_centering,4,1.5,fcm,maximum,pearson,4.059042169282883,3.9684984151495724,4.023088356835937,3.9329408297863293,0.46303497478902,1.1605143506935527,7.716046600020491
simple_centering,4,1.5,fcm,maximum,none,4.030703668442085,3.9374504787163085,4.054232804864052,3.9641859951416762,0.46303497478902,1.1605143506935527,0.05995500006247312
simple_centering,4,1.5,fcm,cog,pearson,4.07076719602783,3.9915967104520242,4.055692326939853,3.9918157861941883,0.46303497478902,1.1605143506935527,15.105815899907611
simple_centering,4,1.5,fcm,cog,none,4.030703668442085,3.9374504787163085,4.054232804864052,3.9641859951416762,0.46303497478902,1.1605143506935527,0.0588763999985531
simple_centering,4,2.0,kmeans,maximum,pearson,4.00587251902247,3.9196709367347933,3.9191715183999083,3.8300381277312816,1.0,-1.0000000826903713e-10,7.523497399990447
simple_centering,4,2.0,kmeans,maximum,none,4.044776900222973,3.9372159349048426,3.8619479902206892,3.7502845197941235,1.0,-1.0000000826903713e-10,0.01186319999396801
simple_centering,4,2.0,kmeans,cog,pearson,4.00587251902247,3.9196709367347933,3.9191715183999083,3.8300381277312816,1.0,-1.0000000826903713e-10,7.504643299966119
simple_centering,4,2.0,kmeans,cog,none,4.044776900222973,3.9372159349048426,3.8619479902206892,3.7502845197941235,1.0,-1.0000000826903713e-10,0.011350200045853853
simple_centering,4,2.0,fcm,maximum,pearson,4.039067400691323,3.9496284022139507,3.985279421029226,3.8990204985279964,0.3029354767257352,1.365280941432027,10.59069790004287
simple_centering,4,2.0,fcm,maximum,none,4.021862141427952,3.9320708482029647,4.023121639183641,3.942185347901811,0.3029354767257352,1.365280941432027,0.10146299994084984
simple_centering,4,2.0,fcm,cog,pearson,4.014250204096594,3.926519148684048,3.9239003572874673,3.8384933639019736,0.3029354767257352,1.365280941432027,14.011228599934839
simple_centering,4,2.0,fcm,cog,none,4.021862141427952,3.9320708482029647,4.023121639183641,3.942185347901811,0.3029354767257352,1.365280941432027,0.09255079994909465
simple_centering,4,2.5,kmeans,maximum,pearson,4.00587251902247,3.9196709367347933,3.9191715183999083,3.8300381277312816,1.0,-1.0000000826903713e-10,7.503740499960259
simple_centering,4,2.5,kmeans,maximum,none,4.044776900222973,3.9372159349048426,3.8619479902206892,3.7502845197941235,1.0,-1.0000000826903713e-10,0.011396800051443279
simple_centering,4,2.5,kmeans,cog,pearson,4.00587251902247,3.9196709367347933,3.9191715183999083,3.8300381277312816,1.0,-1.0000000826903713e-10,7.506174799986184
simple_centering,4,2.5,kmeans,cog,none,4.044776900222973,3.9372159349048426,3.8619479902206892,3.7502845197941235,1.0,-1.0000000826903713e-10,0.011367199942469597
simple_centering,4,2.5,fcm,maximum,pearson,4.058135977922872,3.9765511124605295,3.938007941127085,3.8540290134822333,0.2500003108497977,1.3862943607192917,13.875041199964471
simple_centering,4,2.5,fcm,maximum,none,4.021523531646772,3.93176653177368,4.0111430570126005,3.9304538547148917,0.2500003108497977,1.3862943607192917,0.01943099999334663
simple_centering,4,2.5,fcm,cog,pearson,4.058135977922872,3.9765511124605295,3.938007941127085,3.8540290134822333,0.2500003108497977,1.3862943607192917,13.89146009995602
simple_centering,4,2.5,fcm,cog,none,4.021523531646772,3.93176653177368,4.0111430570126005,3.9304538547148917,0.2500003108497977,1.3862943607192917,0.019783499999903142
simple_centering,6,1.5,kmeans,maximum,pearson,4.063058259535875,3.9811024240736463,3.9763855491871105,3.9005054474058465,1.0,-1.0000000826903713e-10,5.888026300002821
simple_centering,6,1.5,kmeans,maximum,none,4.043774250232104,3.9381107020517203,3.9373144828247595,3.8272608756656137,1.0,-1.0000000826903713e-10,0.013395499903708696
simple_centering,6,1.5,kmeans,cog,pearson,4.063058259535875,3.9811024240736463,3.9763855491871105,3.9005054474058465,1.0,-1.0000000826903713e-10,5.870956899947487
simple_centering,6,1.5,kmeans,cog,none,4.043774250232104,3.9381107020517203,3.9373144828247595,3.8272608756656137,1.0,-1.0000000826903713e-10,0.01293129997793585
simple_centering,6,1.5,fcm,maximum,pearson,4.046483726377041,3.9600818969500633,3.991310414551358,3.899164109623372,0.3387196661871899,1.559028990931335,6.169015499996021
simple_centering,6,1.5,fcm,maximum,none,4.029301166993464,3.936040893162591,4.05602315048644,3.9651899078390525,0.3387196661871899,1.559028990931335,0.12313320010434836
simple_centering,6,1.5,fcm,cog,pearson,4.051614979101428,3.9658753671605598,3.8907238184038198,3.813782574958321,0.3387196661871899,1.559028990931335,11.88100419996772
simple_centering,6,1.5,fcm,cog,none,4.029301166993464,3.936040893162591,4.05602315048644,3.9651899078390525,0.3387196661871899,1.559028990931335,0.12298729992471635
